id_registro,tipo_planta,dias_sem_rega,frequencia_ideal_rega,umidade_solo,luz_recebida,temperatura_media_c,folhas_amareladas,folhas_murchas,manchas_folhas,crescimento_lento,solo_compactado,diagnostico,nivel_risco,recomendacao
PC-0001,manjericao,1,2,encharcado,media,26,sim,sim,nao,nao,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0002,zamioculca,1,10,encharcado,media,23,sim,sim,nao,sim,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0003,suculenta,10,10,normal,baixa,24,sim,nao,sim,sim,sim,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0004,suculenta,2,10,encharcado,media,23,sim,sim,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0005,costela_de_adao,3,5,normal,media,27,nao,nao,nao,sim,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0006,lirio_da_paz,1,3,encharcado,media,19,sim,nao,nao,nao,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0007,orquidea,7,7,seco,media,27,sim,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0008,samambaia,6,2,seco,alta,34,nao,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0009,manjericao,2,2,encharcado,baixa,18,sim,nao,nao,nao,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0010,samambaia,8,2,seco,media,35,sim,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0011,samambaia,1,2,normal,media,20,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0012,jiboia,5,4,normal,media,27,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0013,orquidea,5,7,seco,media,27,nao,nao,nao,sim,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0014,samambaia,6,2,seco,alta,29,sim,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0015,jiboia,4,4,normal,media,26,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0016,suculenta,2,10,encharcado,media,23,sim,nao,nao,sim,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0017,espada_de_sao_jorge,1,12,encharcado,baixa,25,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0018,cacto,15,14,seco,alta,37,nao,sim,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0019,samambaia,3,2,normal,media,21,sim,sim,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0020,costela_de_adao,4,5,normal,media,29,sim,sim,nao,sim,sim,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0021,cacto,2,14,encharcado,media,23,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0022,jiboia,11,4,seco,media,29,nao,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0023,jiboia,0,4,encharcado,baixa,26,sim,sim,nao,sim,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0024,suculenta,9,10,normal,baixa,24,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0025,samambaia,2,2,normal,media,23,nao,nao,sim,nao,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0026,lirio_da_paz,5,3,normal,baixa,26,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0027,cacto,19,14,seco,media,28,nao,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0028,suculenta,11,10,seco,alta,35,sim,nao,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0029,espada_de_sao_jorge,4,12,encharcado,baixa,25,sim,sim,sim,nao,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0030,cacto,14,14,encharcado,baixa,19,sim,nao,sim,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0031,cacto,12,14,normal,baixa,32,nao,sim,sim,nao,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0032,cacto,15,14,seco,alta,31,sim,nao,sim,sim,sim,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0033,lirio_da_paz,2,3,encharcado,baixa,18,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0034,cacto,16,14,normal,baixa,24,sim,sim,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0035,jiboia,1,4,encharcado,baixa,25,sim,nao,nao,sim,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0036,zamioculca,12,10,normal,baixa,24,nao,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0037,suculenta,0,10,encharcado,baixa,25,sim,sim,nao,sim,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0038,manjericao,4,2,seco,alta,32,sim,sim,sim,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0039,lirio_da_paz,4,3,encharcado,baixa,27,nao,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0040,samambaia,3,2,normal,baixa,22,nao,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0041,costela_de_adao,6,5,normal,media,23,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0042,suculenta,10,10,normal,media,25,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0043,cacto,18,14,seco,alta,29,sim,sim,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0044,suculenta,1,10,encharcado,baixa,20,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0045,manjericao,4,2,encharcado,baixa,19,sim,nao,nao,sim,sim,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0046,lirio_da_paz,1,3,seco,baixa,23,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0047,jiboia,2,4,normal,media,22,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0048,cacto,23,14,seco,media,29,nao,sim,nao,nao,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0049,jiboia,2,4,normal,media,25,nao,nao,nao,nao,sim,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0050,jiboia,6,4,normal,baixa,20,nao,sim,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0051,lirio_da_paz,7,3,seco,alta,37,nao,sim,sim,sim,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0052,manjericao,11,2,seco,alta,31,nao,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0053,espada_de_sao_jorge,13,12,normal,media,23,sim,nao,nao,sim,sim,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0054,cacto,2,14,encharcado,media,23,sim,sim,nao,sim,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0055,manjericao,4,2,normal,alta,28,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0056,jiboia,9,4,seco,alta,29,nao,sim,nao,sim,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0057,espada_de_sao_jorge,13,12,normal,media,23,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0058,orquidea,6,7,normal,baixa,23,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0059,jiboia,7,4,seco,alta,38,nao,nao,nao,nao,sim,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0060,manjericao,1,2,encharcado,media,18,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0061,costela_de_adao,9,5,seco,alta,31,sim,sim,nao,nao,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0062,manjericao,8,2,seco,alta,34,sim,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
